#Number_of_angles, RMSE_BackProjection, RMSE_Filter_BackProjection, RMSE_Projection_Slice_Theorem_with_interpolation 
2 0.4265583916490116 0.2669779660516267 0.24186034521652947
3 0.42799375450314636 0.25968335023633304 0.2519963297416797
4 0.4294751396626387 0.25462310659661497 0.24486447714785192
5 0.42995423549369066 0.25065609825029433 0.24620960060805883
6 0.4310271397112021 0.2472451629090941 0.24585121943785126
7 0.4310730299946877 0.24455135475903889 0.24746320552364431
8 0.4313892742669305 0.24232479582911162 0.24675211958261642
9 0.43100160635087287 0.24053775949794592 0.2485463072614732
10 0.4302626534147541 0.2390863743422966 0.24873164250270463
11 0.42983272053930593 0.2377592350297805 0.2497378273873368
12 0.43001741194176607 0.23650252069714878 0.251356883814421
13 0.43052684829813365 0.23531829990461695 0.2510645538166466
14 0.43132554675181706 0.23417089531356386 0.2505324035182426
15 0.43296476941569695 0.23299947108527522 0.2510571472768535
16 0.4352132180117225 0.2318180289397444 0.2505246131247765
17 0.4373260930001696 0.23082073623490057 0.24963368492456406
18 0.44005771049461195 0.22970095752372616 0.248684487495666
19 0.44279745671041654 0.2281867372831852 0.24786080420500525
20 0.4440447833288994 0.22665476106438856 0.2473249234078779
21 0.44489162715217234 0.22524595137397077 0.24636125960620828
22 0.4461157118462937 0.2238164316118058 0.24553529614184808
23 0.4467726048906686 0.22248169389486963 0.24483302661587644
24 0.4467754408572141 0.22113968869709832 0.24383251247664667
25 0.4467041809347786 0.21987406634477777 0.24356582229627827
26 0.4465644504318374 0.21862426097875381 0.24292749746725342
27 0.4462776669743574 0.2173907972109818 0.2423799615899
28 0.4460422453227027 0.21617972703965602 0.24290149480670217
29 0.4459283774212395 0.21500333260307813 0.24235782545041992
30 0.445884964142452 0.21386615765057265 0.24216209696463287
31 0.4459762422405256 0.21275244884996936 0.24162635066969917
32 0.4464748479232303 0.21170455587977483 0.24230821138102346
33 0.4473590082631598 0.2106641314780427 0.24208942285622614
34 0.44836534340525247 0.20966982301264903 0.24213022975387422
35 0.4496070677112303 0.2087344522156004 0.24210984230036195
36 0.45078741608053646 0.2078550332361797 0.24217893853854128
37 0.4516018203695052 0.2069842932414087 0.24275193086841476
38 0.451910501584118 0.20614912910564878 0.24252274160550294
