#Number_of_angles, RMSE_BackProjection, RMSE_Filter_BackProjection, RMSE_Projection_Slice_Theorem_with_interpolation 
114 0.4424741410879957 0.15597412548157868 0.2384208109891704
115 0.44251055043882964 0.15608094183759355 0.2402074448433759
116 0.4426416591420513 0.1570281903932307 0.23815031373957127
117 0.4429261355694908 0.15741734103034155 0.23638296684741497
118 0.4433222976465807 0.15806369407349583 0.2386445753338944
119 0.44375617019822905 0.15864185902424477 0.23488008927172804
120 0.4442506553802611 0.15943047089385043 0.23546580837844114
121 0.4448423801499 0.16017089926634548 0.23333384922668543
122 0.44548649751193775 0.16036213636615562 0.23458929279397664
123 0.44613468724366967 0.16026396534471876 0.2319153273268508
124 0.44674016936290645 0.1606571189411911 0.23044765599041114
125 0.44742531814988024 0.16073351579347253 0.2303940707558533
126 0.4481373303111596 0.160765634372336 0.22994440602376734
127 0.44888065137914784 0.1607321303740593 0.22898099271957814
128 0.4496179626222774 0.1608098532900686 0.2281732961384121
129 0.4503638449661906 0.16101618663913358 0.22750046721970393
130 0.45115375760200443 0.16045775910086374 0.22741567003481378
131 0.45195404736746864 0.16028449909381412 0.22696062545840545
132 0.4527499013324089 0.16016831653492014 0.22649434391641846
133 0.45356448992506043 0.16022598593859805 0.2278424193530414
134 0.4544103199645946 0.16091391531786775 0.22437076476928078
135 0.45529329617699776 0.1617492813841704 0.223683593078502
136 0.4562008229947946 0.16228919576720113 0.22316974920796026
137 0.45713744972818593 0.16284444412902682 0.22178205062747716
138 0.45808014697418314 0.16319974329536363 0.22009008860579146
139 0.45905821821858867 0.16319302858776202 0.22014675983349852
140 0.46007618447159476 0.16327321239565631  194721503723
141 0.4611230670401423 0.16375890615276315 0.21519910218252697
142 0.4621589356525377 0.1644660099112035 0.21597188111765364
143 0.4631694685408083 0.16457646885356325 0.21345709129295154
144 0.4641662928031704 0.16412446928359525 0.21062987980464404
145 0.4651602557374286 0.16370571888863136 0.21091926842708245
146 0.46609615248785913 0.16263914505517926 0.2095914664344603
147 0.467016500776041 0.16173887261741787 0.20600952587623814
148 0.4679182870095774 0.16127413194611567 0.20692756394251852
149 0.4688190427718076 0.16065403421197527 0.20308210283248512
150 0.46973617497305314 0.16068118134188525 0.20092260146143784
151 0.4706604695055528 0.16107701274334305 0.19902790723203884
152 0.4716064573556692 0.16174209057497596 0.19738468855545918
153 0.4725381198247915 0.16284598486906018 0.19659897238720714
154 0.47343055064069467 0.16399691506381397 0.19459449146724636
155 0.4743281840403997 0.16474797618065493 0.1910358673689835
156 0.47528856001085396 0.16520324605564832 0.19156316218289693
157 0.47626835394468814 0.16618418505005986 0.1888143743534117
158 0.4771738358564133 0.16799703229483562 0.1870652972667819
159 0.47797270937645475 0.16928670736231524 0.1868149310248693
160 0.4786810243334241 0.16955226633902704 0.18479370792507865
161 0.4792480955994185 0.17011077709616773 0.18266031448825612
162 0.4798567733617849 0.16956676275676585 0.17862561812887812
163 0.4805191769896987 0.16990244463321225 0.17809952598953932
164 0.481198095764885 0.1705304065124186 0.17615441456814887
165 0.4818901901049425 0.1712312605083893 0.17439871234092968
166 0.4825562003480788 0.17224694130202134 0.17173324247016372
167 0.48303054964737646 0.17324556517898324 0.16848013426006198
168 0.48338136509127994 0.17441103325588928 0.1661440149923108
169 0.4838725157727284 0.1741841453569383 0.16294807808377673
170 0.48403326690478954 0.1740720957515579 0.16007436818261694
171 0.48377254662662644 0.17428352907842212 0.15815160430052297
172 0.48350121217389913 0.17414596344523367 0.15453639225355587
173 0.48312400872711836 0.1742681612307894 0.15301101838493625
174 0.48259415647314957 0.17492331829847935 0.1475772510318593
175 0.4820847513917971 0.17558676518266333 0.14191680156596637
176 0.4815917126895068 0.17592184356482207 0.13692118732228206
177 0.4811256348763142 0.17627035309071598 0.13191906478451634
178 0.48064698980936 0.1765147219867209 0.12621343949433517
179 0.4801249698912221 0.1763582958783356 0.12176204280323628
180 0.4796551971776743 0.1758770453971383 0.12183472205685904
